student_id,first_name,last_name,preferred_name,gender,pell_eligible,ok_to_text,inquiry_date,application_date,institution_name,coach_name,program,current_status
38668438-94e9-4fb7-95a9-d768cf4f82e7,Diana,Prince,,Female,Eligible,True,2020-11-07,2021-10-29,Organization A,Boo,Business,Application Denied
a9062aab-87e2-41ca-ad06-f9fb1f554483,Bruce,Banner,,Male,Eligible,True,2021-02-12,2021-07-15,Organization A,Boo,Computer Scienc,Started Application
aa6d5483-57af-4255-89b5-e710726e3ed6,Harley,Quinn,,Female,Eligible,,2021-03-21,2021-05-07,Organization C,Boo,Business,Admission Decision Pending
cef2487f-2520-4a7b-9cbc-4824cd5a8c6f,Barbara,Gordon,,Female,Not Eligible,True,2020-11-09,2021-08-28,Organization B,Toad,Physics,Submitted Application
d2652d70-3b40-4536-aa5e-367d161b11af,Linda,Farley,,Female,Not Eligible,,2021-01-27,,Organization A,Peach,Business,Admitted
e0560d10-00a9-4c6d-a5a1-55c0c0d698bb,Selina,Kyle,,Female,Eligible,True,2021-03-31,2021-08-19,Organization A,Peach,History,Waitlist
f9890919-516d-4f68-b3cf-3e6447a1e120,Kamala,Khan,,Female,Eligible,True,2020-12-17,2021-08-08,Organization A,Peach,History,Waitlist
2d37e1c5-1ece-469d-bf3a-7c0c27bceec9,Janet,Van Dyne,,Female,Not Specified,,1970-01-01,2021-06-06,Organization C,Toad,Anthropology,Admission Decision Pending
ca4506aa-6611-4fce-94ea-ac7d994f6184,Steve,Rogers,,Male,Eligible,,2021-02-20,2021-05-29,Organization C,Peach,Business,Application Denied
cbb0feb6-7ac4-490f-ab6e-b4d4a3ff9683,Clint,Barton,,Male,Eligible,,2021-03-21,2021-06-04,Organization C,Bowser,History,Submitted Application
cfe439e5-6ce2-4647-8422-adb3bbad8f9d,Mindy,McCready,,Female,Eligible,,2021-03-15,2021-08-26,Organization C,Bowser,Computer Scienc,Waitlist
49027757-5462-4efa-9bd8-1be013a5d8b9,Dick,Grayson,,Male,Eligible,,1970-01-01,2021-10-28,Organization C,Bowser,Business,Application Withdrawn
46a9afbf-3963-4651-ba72-a69e71411f22,Billy,Batson,,Male,Eligible,,1970-01-01,2021-06-16,Organization C,Bowser,Anthropology,Application Withdrawn
e792f7e8-bcd7-4d0c-995f-cd382ff48723,Reed,Richards,,Male,Not Specified,,2021-04-08,2021-06-11,Organization C,Mario,Business,Admitted
9b04264d-2443-45c4-8a7b-c0aaeaaae903,Arthur,Curry,,Male,Not Specified,,1970-01-01,2021-08-02,Organization C,Bowser,Anthropology,Application Denied
4e5c7299-a8f0-49b4-a279-7c16a3fe687d,Stephen,Strange,,Male,Not Specified,,1970-01-01,2021-10-26,Organization C,Peach,Business,Started Application
fe95af57-7046-48cf-a5e8-38090906d8f0,Sohail,Mcdonald,,Not Specified,Eligible,,2021-04-02,2021-08-11,Organization C,Mario,Business,Admitted
381e1168-a8aa-4cc9-b487-520c1df575de,Charles,Xavier,,Male,Eligible,,2021-04-18,2021-05-01,Organization C,Toad,Anthropology,Application Withdrawn
226ed425-96b2-49fc-a126-dbb74c684a09,Virginia,Potts,,Female,Not Specified,,2021-02-20,2021-08-23,Organization C,Bowser,History,Admitted
222ff7c1-09b7-4918-bbae-56af447a8889,Scott,Lang,,Male,Not Specified,,1970-01-01,2021-07-17,Organization C,Boo,Anthropology,Application Denied
1e07e4b7-e27d-4da6-a906-b147f1a7d2e3,Walter,Kovacs,,Male,Not Specified,,1970-01-01,2021-08-08,Organization C,Peach,Platforming Stu,Waitlist
d7ec5ece-d4cc-4e2f-ad1b-6320a5f01658,Gerald,Zimmerman,,Not Specified,Not Specified,,2021-04-30,2021-09-04,Organization C,Toad,Anthropology,Admission Decision Pending
4a9d144f-63dc-497d-ae61-dad9c56a4b51,Loki,NoLastName,,Male,Eligible,,2021-02-17,2021-07-13,Organization C,Boo,Physics,Application Denied
4025438b-8f42-4f26-a96b-456a259a72ac,Peggy,Carter,,Female,Not Specified,,2021-03-09,2021-07-19,Organization C,Waluigi,Physics,Application Denied
e2e7825d-3617-4936-8cac-966d1a9cf91f,Jennifer,Kemp,,Not Specified,Not Specified,,1970-01-01,2021-07-25,Organization C,Boo,Anthropology,Submitted Application
e48cad6e-6eec-401b-9989-c07f4b44c828,J'onn,Jonzz,,Male,Eligible,,2021-04-30,2021-10-31,Organization C,Boo,Computer Scienc,Started Application
f6927928-18c7-48ed-9214-4e8f412a505b,Mercedes,Knight,,Female,Eligible,,2021-02-09,2021-05-14,Organization C,Bowser,Anthropology,Waitlist
20055f45-ae24-4285-ae7f-4a4d1639bc9e,Suhayb,Obrien,,Not Specified,Eligible,,1970-01-01,2021-08-27,Organization C,Waluigi,Physics,Started Application
025cad2a-49f3-4dd8-a0f5-5e1fa3af42a8,Ellie,Phimister,,Female,Not Specified,,2021-04-03,2021-07-19,Organization C,Peach,Computer Scienc,Waitlist
a5f6e768-6f3f-4a23-89b2-4b539fa54e26,Abbey,Small,,Not Specified,Not Specified,,2021-03-02,2021-05-02,Organization C,Bowser,Anthropology,Admission Decision Pending
c5e25d98-8e42-40f4-96ae-92871fb44439,Norman,Osborne,,Male,Eligible,,2021-02-04,2021-06-22,Organization C,Boo,History,Application Withdrawn
0ca8cc13-c217-4015-8a23-dd25f113996f,Pietro,Maximoff,,Male,Not Specified,,2021-03-20,2021-07-14,Organization C,Mario,History,Waitlist
eea9aa06-3e25-4254-86be-cf5f799ee466,Monica,Rambeau,,Female,Eligible,,2021-02-13,2021-06-27,Organization C,Peach,History,Application Withdrawn
f6a05c3a-36cc-4412-a5da-f84d25dae4d7,Cassandra,Lang,,Female,Eligible,,2021-04-29,2021-07-06,Organization C,Mario,History,Started Application
675fc65b-33ac-4080-ab9a-84721530c8f5,James,Howlett,,Male,Not Specified,,2021-03-29,2021-06-06,Organization C,Toad,Computer Scienc,Admission Decision Pending
dd00b70d-918a-4066-b81b-ada82ac7e4ac,Kurt,Wagner,,Male,Not Specified,,1970-01-01,2021-06-04,Organization C,Boo,Anthropology,Started Application
455a376c-eba3-4177-9037-b13fb08ca90e,Eloisa,Stanley,,Not Specified,Not Specified,,2021-02-20,2021-08-22,Organization C,Mario,Anthropology,Submitted Application
56ec3eee-ac22-458e-836e-7ff8df6c0b7d,Oriana,Dunne,,Not Specified,Eligible,,2021-01-12,2021-06-11,Organization C,Boo,Business,Waitlist
bb81b665-89df-4527-954a-7eb161192b8f,Curt,Connors,,Male,Eligible,,1970-01-01,2021-05-30,Organization C,Bowser,Business,Waitlist
4551719d-35cd-4e33-bbcc-e6b0e5f5b171,Charmaine,Matthews,,Not Specified,Eligible,,2021-01-01,2021-07-22,Organization C,Mario,Business,Started Application
051a6e64-a807-4441-837b-955e243fc74d,Elizabeth,Gentry,,Female,Not Specified,,1970-01-01,2021-07-21,Organization C,Mario,Platforming Stu,Admission Decision Pending
274e104b-aee9-46e2-abb1-9c43e1cd5de0,Wilson,Fisk,,Male,Not Specified,,2021-02-12,2021-07-01,Organization C,Bowser,Platforming Stu,Admitted
d9604b6d-44c5-4f43-9ec1-131424bd70b8,Mortimer,Toynbee,,Male,Not Specified,,2021-03-07,2021-09-07,Organization C,Peach,History,Application Withdrawn
98089c7e-9f22-4bd1-80cf-29d598ec79da,Jennifer,Vaughn,,Female,Eligible,,1970-01-01,2021-08-28,Organization C,Peach,Anthropology,Application Denied
853a6dd6-0954-4dd6-b759-71163bffd91f,Adrian,Toomes,,Male,Not Specified,,2021-01-14,2021-07-19,Organization C,Toad,Computer Scienc,Started Application
c8f6af0f-444f-4bb2-946e-1ebb0dc128a5,Maxwell,Dillon,,Male,Eligible,,1970-01-01,2021-09-12,Organization C,Boo,Business,Started Application
b5228229-93ad-431e-9101-4ad494afe160,Carol,Lane,,Female,Not Specified,,2021-03-17,2021-05-24,Organization C,Bowser,Physics,Admitted
85618852-3eb8-447e-9b34-0d883dfae7ca,Barbara,Williams,,Female,Eligible,,2021-01-17,2021-09-11,Organization C,Mario,Anthropology,Application Denied
d82876e4-9f6f-45c4-8d8e-57308f574bda,Sean,Cassidy,,Male,Eligible,,2021-03-12,2021-10-21,Organization C,Mario,Business,Application Withdrawn
5aeb3034-dba0-41e3-833e-c6504e0ab723,Alex,Summers,,Male,Eligible,,2021-03-05,2021-06-23,Organization C,Boo,Physics,Application Denied
e60152fd-1a08-49f4-9789-1f030c7e4585,Tony,Masters,,Male,Not Specified,,2021-02-08,2021-05-06,Organization C,Bowser,Computer Scienc,Application Withdrawn
26b99f36-2b75-42d8-a94d-4f821f98d988,Abdulahi,Castaneda,,Not Specified,Not Specified,,1970-01-01,2021-06-23,Organization C,Waluigi,Computer Scienc,Waitlist
bd4852db-52b0-4ea9-ac82-18e3de3dd775,Ben,Reilly,,Male,Not Specified,,1970-01-01,2021-09-02,Organization C,Mario,Physics,Submitted Application
ef0170ba-c0bf-49f3-a47c-9a4e2b824bdc,Sara,Chavez,,Female,Eligible,,1970-01-01,2021-08-29,Organization C,Boo,Platforming Stu,Application Denied
